
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeandiff0",="SCEMeandiff1",="SCEMeandiff2",="SCEMeandiff3",="SCEVardiff0",="SCEVardiff1",="SCEVardiff2",="SCEVardiff3"

="L.IncExp_Mean_ch",="",="-0.439***",="-0.596***",="-0.668***",="",="",="",=""
="",="",="(0.011)",="(0.014)",="(0.018)",="",="",="",=""

="L2.IncExp_Mean_ch",="",="",="-0.331***",="-0.433***",="",="",="",=""
="",="",="",="(0.011)",="(0.017)",="",="",="",=""

="L3.IncExp_Mean_ch",="",="",="-0.162***",="-0.289***",="",="",="",=""
="",="",="",="(0.009)",="(0.020)",="",="",="",=""

="L4.IncExp_Mean_ch",="",="",="",="-0.186***",="",="",="",=""
="",="",="",="",="(0.019)",="",="",="",=""

="L5.IncExp_Mean_ch",="",="",="",="-0.113***",="",="",="",=""
="",="",="",="",="(0.015)",="",="",="",=""

="L6.IncExp_Mean_ch",="",="",="",="-0.053***",="",="",="",=""
="",="",="",="",="(0.013)",="",="",="",=""

="L.IncExp_Var_ch",="",="",="",="",="",="-0.456***",="-0.642***",="-0.729***"
="",="",="",="",="",="",="(0.013)",="(0.021)",="(0.032)"

="L2.IncExp_Var_ch",="",="",="",="",="",="",="-0.376***",="-0.542***"
="",="",="",="",="",="",="",="(0.024)",="(0.040)"

="L3.IncExp_Var_ch",="",="",="",="",="",="",="-0.171***",="-0.335***"
="",="",="",="",="",="",="",="(0.014)",="(0.038)"

="L4.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.218***"
="",="",="",="",="",="",="",="",="(0.037)"

="L5.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.159***"
="",="",="",="",="",="",="",="",="(0.027)"

="L6.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.072***"
="",="",="",="",="",="",="",="",="(0.020)"

="_cons",="-0.034**",="-0.036**",="-0.034**",="-0.024",="-0.204***",="-0.273***",="-0.332***",="-0.285**"
="",="(0.012)",="(0.012)",="(0.012)",="(0.015)",="(0.052)",="(0.062)",="(0.063)",="(0.095)"

="N",="33996",="25894",="15573",="6961",="33824",="25366",="14837",="6334"
="r2",="0.000",="0.205",="0.279",="0.315",="0.000",="0.229",="0.310",="0.361"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
