
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="mean1",="mean2",="mean3",="rmean1",="rmean2",="rmean3",="var1",="var2",="var3",="rvar1",="rvar2",="rvar3"

="L.Inc_mom",="0.381***",="0.328***",="0.330***",="0.366***",="0.308***",="0.284***",="0.319***",="0.265***",="0.201***",="0.381***",="0.321***",="0.271***"
="",="(0.0111)",="(0.0138)",="(0.0208)",="(0.00907)",="(0.0134)",="(0.0180)",="(0.0149)",="(0.0248)",="(0.0358)",="(0.0125)",="(0.0220)",="(0.0293)"

="L2.Inc_mom",="0.260***",="0.212***",="0.204***",="0.239***",="0.223***",="0.218***",="0.225***",="0.163***",="0.130***",="0.226***",="0.196***",="0.181***"
="",="(0.0104)",="(0.0159)",="(0.0194)",="(0.00881)",="(0.0139)",="(0.0179)",="(0.0133)",="(0.0298)",="(0.0347)",="(0.0120)",="(0.0256)",="(0.0390)"

="L3.Inc_mom",="0.181***",="0.128***",="0.141***",="0.177***",="0.128***",="0.144***",="0.163***",="0.145***",="0.197***",="0.155***",="0.157***",="0.173***"
="",="(0.00869)",="(0.0138)",="(0.0172)",="(0.00662)",="(0.0127)",="(0.0179)",="(0.0129)",="(0.0217)",="(0.0398)",="(0.0107)",="(0.0216)",="(0.0358)"

="L4.Inc_mom",="",="0.105***",="0.0710***",="",="0.0824***",="0.0654***",="",="0.112***",="0.0965**",="",="0.0991***",="0.101**"
="",="",="(0.0132)",="(0.0177)",="",="(0.0127)",="(0.0158)",="",="(0.0202)",="(0.0362)",="",="(0.0224)",="(0.0315)"

="L5.Inc_mom",="",="0.0629***",="0.0819***",="",="0.0746***",="0.100***",="",="0.0429*",="0.0640",="",="0.0525**",="0.113***"
="",="",="(0.0136)",="(0.0180)",="",="(0.0132)",="(0.0193)",="",="(0.0180)",="(0.0343)",="",="(0.0196)",="(0.0305)"

="L6.Inc_mom",="",="0.0490***",="0.0267",="",="0.0554***",="0.0492**",="",="0.0592***",="0.0586**",="",="0.0281*",="0.0351"
="",="",="(0.0111)",="(0.0155)",="",="(0.0105)",="(0.0176)",="",="(0.0124)",="(0.0205)",="",="(0.0133)",="(0.0223)"

="L7.Inc_mom",="",="",="0.00924",="",="",="0.0124",="",="",="0.0526*",="",="",="-0.0190"
="",="",="",="(0.0129)",="",="",="(0.0143)",="",="",="(0.0260)",="",="",="(0.0185)"

="L8.Inc_mom",="",="",="0.0211",="",="",="0.0211",="",="",="0.0347",="",="",="-0.00332"
="",="",="",="(0.0144)",="",="",="(0.0126)",="",="",="(0.0184)",="",="",="(0.0136)"

="_cons",="0.444***",="0.285***",="0.279***",="-0.0427**",="-0.0447*",="-0.0558*",="1.134***",="0.755***",="0.522***",="1.777***",="0.993***",="1.138***"
="",="(0.0167)",="(0.0205)",="(0.0299)",="(0.0146)",="(0.0209)",="(0.0270)",="(0.0637)",="(0.102)",="(0.112)",="(0.0948)",="(0.140)",="(0.211)"

="N",="23885",="11157",="6096",="20431",="9177",="4890",="22778",="10174",="5392",="20038",="8607",="4444"
="R-sq",="0.536",="0.577",="0.582",="0.475",="0.531",="0.550",="0.367",="0.382",="0.387",="0.473",="0.531",="0.522"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
