
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_Varlvl",="SCE_Vardiff"

="L3.IncExp_Mean",="0.344***",="",="",=""
="",="(0.0140)",="",="",=""

="L4.IncExp_Mean",="0.255***",="",="",=""
="",="(0.0131)",="",="",=""

="L5.IncExp_Mean",="0.172***",="",="",=""
="",="(0.0109)",="",="",=""

="L3.IncExp_Mean_ch",="",="-0.0292",="",=""
="",="",="(0.0158)",="",=""

="L4.IncExp_Mean_ch",="",="-0.00113",="",=""
="",="",="(0.0165)",="",=""

="L5.IncExp_Mean_ch",="",="-0.0128",="",=""
="",="",="(0.0129)",="",=""

="L3.IncExp_Var",="",="",="0.270***",=""
="",="",="",="(0.0193)",=""

="L4.IncExp_Var",="",="",="0.214***",=""
="",="",="",="(0.0161)",=""

="L5.IncExp_Var",="",="",="0.128***",=""
="",="",="",="(0.0146)",=""

="L3.IncExp_Var_ch",="",="",="",="-0.0171"
="",="",="",="",="(0.0246)"

="L4.IncExp_Var_ch",="",="",="",="-0.00133"
="",="",="",="",="(0.0255)"

="L5.IncExp_Var_ch",="",="",="",="-0.0330*"
="",="",="",="",="(0.0153)"

="_cons",="0.572***",="-0.0131",="1.454***",="-0.0213"
="",="(0.0209)",="(0.0166)",="(0.105)",="(0.0914)"

="N",="14402",="9922",="13905",="9329"
="R-sq",="0.466",="0.001",="0.281",="0.002"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
