
="",="(1)",="(2)",="(3)",="(4)"
="",="mean",="var",="UEprobAgg",="UEprobInd"

="rincmean",="2.764",="",="",=""
="",="(2.577)",="",="",=""

="rincvar",="",="331.7***",="",=""
="",="",="(45.54)",="",=""

="UEprobAgg",="",="",="0.0232",=""
="",="",="",="(0.0193)",=""

="UEprobInd",="",="",="",="-0.0110"
="",="",="",="",="(0.0122)"

="_cons",="4.151***",="4.132***",="3.811***",="4.606***"
="",="(0.0491)",="(0.0820)",="(0.787)",="(0.231)"

="N",="56572",="59418",="94717",="60293"
="R-sq",="0.000",="0.001",="0.000",="0.000"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
