
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="log perceived risk",="log perceived risk",="log perceived risk",="log perceived iqr",="log perceived iqr",="log perceived iqr"

="log experienced volatility",="1.291**",="1.265**",="1.208**",="0.690**",="0.713**",="0.650**"
="",="(3.08)",="(3.02)",="(2.61)",="(3.05)",="(3.16)",="(2.62)"

="R-squre",="0.0170",="0.0222",="0.0243",="0.0118",="0.0168",="0.0269"
="N",="40158",="40158",="33485",="44454",="44454",="37058"
="Control age",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Control educ",="No",="Yes",="Yes",="No",="Yes",="Yes"
="Control income",="No",="No",="Yes",="No",="No",="Yes"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
