
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)"

="middle-age",="-0.250",="-0.0907",="-0.259",="-0.166*",="-0.249",="-0.491",="-0.0907",="-0.281",="-0.689*"
="",="(0.240)",="(1.445)",="(1.394)",="(0.0680)",="(0.409)",="(0.413)",="(0.0502)",="(0.318)",="(0.343)"

="old",="-0.529*",="-0.725",="-1.058",="-0.355***",="-0.744",="-0.860*",="-0.189***",="-0.379",="-0.841*"
="",="(0.248)",="(1.560)",="(1.434)",="(0.0693)",="(0.423)",="(0.419)",="(0.0519)",="(0.325)",="(0.338)"

="high educ",="0.0973",="-0.485",="-0.922",="-0.147***",="-0.266",="-0.261",="0.143***",="0.150",="-0.125"
="",="(0.112)",="(0.898)",="(0.787)",="(0.0306)",="(0.246)",="(0.237)",="(0.0230)",="(0.193)",="(0.206)"

="high inc",="-1.548***",="0.587",="0.0380",="-0.704***",="-0.142",="-0.231",="0.230***",="0.199",="0.256"
="",="(0.121)",="(0.896)",="(0.835)",="(0.0325)",="(0.264)",="(0.243)",="(0.0238)",="(0.202)",="(0.203)"

="1",="0.994***",="1.087",="0.564",="0.335***",="0.293",="0.396",="0.425***",="0.574",="0.336"
="",="(0.246)",="(1.624)",="(1.476)",="(0.0694)",="(0.472)",="(0.491)",="(0.0517)",="(0.376)",="(0.391)"

="female",="",="0.439",="-0.0873",="",="0.140",="-0.226",="",="0.473**",="0.246"
="",="",="(0.836)",="(0.763)",="",="(0.222)",="(0.225)",="",="(0.183)",="(0.199)"

="hispanic/latino/spanish(1/0)=2",="",="3.321",="4.231",="",="0.320",="0.800",="",="0.0251",="0.350"
="",="",="(2.797)",="(2.663)",="",="(0.752)",="(0.881)",="",="(0.503)",="(0.571)"

="race: white",="",="4.802",="3.899",="",="0.732",="-0.0442",="",="0.722",="0.971"
="",="",="(4.858)",="(5.502)",="",="(1.124)",="(1.191)",="",="(1.160)",="(1.098)"

="race: black/african american",="",="6.560",="6.928",="",="0.933",="0.270",="",="0.935",="1.324"
="",="",="(4.994)",="(5.462)",="",="(1.123)",="(1.168)",="",="(1.104)",="(0.982)"

="race: american indian/alaska native",="",="-1.918",="-0.425",="",="-0.449",="0.198",="",="1.698*",="1.624*"
="",="",="(2.041)",="(1.833)",="",="(0.490)",="(0.385)",="",="(0.746)",="(0.772)"

="race: asian",="",="4.347",="4.320",="",="0.701",="0.221",="",="0.895",="1.197"
="",="",="(4.809)",="(5.639)",="",="(1.172)",="(1.237)",="",="(1.156)",="(1.133)"

="race: native hawaiian or other pacific islander",="",="-1.147",="-2.561",="",="-0.614",="-1.034",="",="0.920",="-1.913*"
="",="",="(3.412)",="(2.205)",="",="(0.890)",="(0.631)",="",="(1.499)",="(0.796)"

="race: other",="",="13.66*",="13.19",="",="2.272",="2.100",="",="0.710",="1.065"
="",="",="(6.488)",="(6.956)",="",="(1.379)",="(1.389)",="",="(1.339)",="(1.244)"

="chance of UE higher from y to y+1(0-1)",="",="",="-0.00506",="",="",="-0.00486",="",="",="-0.00550"
="",="",="",="(0.0129)",="",="",="(0.00434)",="",="",="(0.00421)"

="chance of stock market up from y to y+1(%)",="",="",="0.0271",="",="",="0.00657",="",="",="0.0224***"
="",="",="",="(0.0178)",="",="",="(0.00501)",="",="",="(0.00465)"

="mean of inflation from y to y+1(%)",="",="",="0.343",="",="",="-0.00811",="",="",="0.150**"
="",="",="",="(0.229)",="",="",="(0.0561)",="",="",="(0.0494)"

="chance of losing job from y to y+1(%)",="",="",="-0.0117",="",="",="0.0102",="",="",="-0.0109*"
="",="",="",="(0.0146)",="",="",="(0.00661)",="",="",="(0.00490)"

="Observations",="45722",="710",="574",="49940",="775",="621",="46153",="698",="579"
="R-squared",="0.015",="0.078",="0.126",="0.031",="0.078",="0.126",="0.025",="0.108",="0.193"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
