
="",="(1)",="(2)",="(3)",="(4)"
="",="(p 50) Q24_var",="(p 50) Q24_var",="(p 50) Q24_iqr",="(p 50) Q24_iqr"

="(p 50) wagegrowth",="-0.265*",="",="-0.101**",=""
="",="(0.115)",="",="(0.0352)",=""

="L.(p 50) wagegrowth",="0.0371",="",="0.0222",=""
="",="(0.115)",="",="(0.0352)",=""

="chagne in uemp rate",="",="0.148",="",="1.533"
="",="",="(3.441)",="",="(1.038)"

="L.chagne in uemp rate",="",="2.032",="",="-1.438"
="",="",="(3.467)",="",="(1.046)"

="Observations",="3471",="3414",="3487",="3428"
="R-squared",="0.021",="0.017",="0.023",="0.015"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
