
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) "

="part-time=1",="-0.467***",="-0.377***",="-0.284***",="",="-0.194",="-1.001***",="-0.815**",="",="0.228*",="-0.329**",="-0.226*",="",="-0.660***",="-0.436***",="-0.381***",="",="0.912*",="-1.685***",="-1.471**",=""
="",="(0.0575)",="(0.0632)",="(0.0639)",="",="(0.238)",="(0.270)",="(0.259)",="",="(0.110)",="(0.108)",="(0.114)",="",="(0.0766)",="(0.0813)",="(0.0845)",="",="(0.465)",="(0.494)",="(0.548)",=""

="work for someone or self-employed(1/0)=2",="0.893***",="0.903***",="",="",="7.359***",="7.061***",="",="",="2.382***",="2.274***",="",="",="0.935***",="0.924***",="",="",="6.156***",="6.047***",="",=""
="",="(0.0969)",="(0.103)",="",="",="(0.416)",="(0.440)",="",="",="(0.151)",="(0.160)",="",="",="(0.110)",="(0.115)",="",="",="(0.618)",="(0.653)",="",=""

="HH income group=2",="",="0.124",="0.0166",="",="",="-3.441**",="-1.259",="",="",="-2.000***",="-1.749*",="",="",="-0.235",="-0.286",="",="",="-6.133**",="-3.479",=""
="",="",="(0.208)",="(0.224)",="",="",="(1.259)",="(1.151)",="",="",="(0.590)",="(0.730)",="",="",="(0.257)",="(0.267)",="",="",="(2.346)",="(2.723)",=""

="HH income group=3",="",="0.579**",="0.337",="",="",="-2.997*",="-1.652",="",="",="-2.590***",="-2.629***",="",="",="0.105",="-0.0684",="",="",="-4.390",="-2.684",=""
="",="",="(0.209)",="(0.218)",="",="",="(1.248)",="(1.127)",="",="",="(0.565)",="(0.692)",="",="",="(0.256)",="(0.252)",="",="",="(2.375)",="(2.720)",=""

="HH income group=4",="",="0.520*",="0.210",="",="",="-4.259***",="-2.283*",="",="",="-3.067***",="-3.004***",="",="",="0.288",="0.0151",="",="",="-6.745**",="-4.403",=""
="",="",="(0.205)",="(0.213)",="",="",="(1.237)",="(1.113)",="",="",="(0.558)",="(0.687)",="",="",="(0.256)",="(0.252)",="",="",="(2.331)",="(2.693)",=""

="HH income group=5",="",="0.421*",="0.178",="",="",="-5.299***",="-3.622***",="",="",="-3.551***",="-3.579***",="",="",="0.227",="-0.0412",="",="",="-10.12***",="-8.141**",=""
