
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="var of earning growth of same job/time/place from y to y+1(%)",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="mean of earning growth of same job/time/place from y to y+1(%)",="IncMean",="IncVar",="IncSkew",="IncKurt"

="month=1",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="month=2",="0.0541",="-0.0167",="-0.0226",="0.00306",="-0.000226",="-0.0000365",="-0.000769"
="",="(0.255)",="(0.0871)",="(0.0539)",="(0.0229)",="(0.00509)",="(0.00147)",="(0.00303)"

="month=3",="0.0632",="-0.0787",="0.0308",="0.0294",="-0.00479",="-0.00125",="-0.00463"
="",="(0.252)",="(0.0850)",="(0.0532)",="(0.0230)",="(0.00497)",="(0.00145)",="(0.00295)"

="month=4",="0.169",="-0.0541",="0.0280",="0.0382",="-0.00147",="-0.00125",="-0.00510"
="",="(0.258)",="(0.0860)",="(0.0537)",="(0.0230)",="(0.00501)",="(0.00146)",="(0.00300)"

="month=5",="-0.181",="-0.0787",="0.0346",="0.00949",="-0.000555",="-0.000104",="0.000977"
="",="(0.250)",="(0.0859)",="(0.0538)",="(0.0228)",="(0.00504)",="(0.00146)",="(0.00305)"

="month=6",="-0.108",="-0.113",="0.0358",="0.0178",="-0.00130",="-0.000185",="0.00317"
="",="(0.250)",="(0.0853)",="(0.0542)",="(0.0231)",="(0.00503)",="(0.00147)",="(0.00309)"

="month=7",="-0.348",="-0.147",="0.000503",="0.0137",="0.00361",="0.00101",="0.00342"
="",="(0.247)",="(0.0838)",="(0.0538)",="(0.0229)",="(0.00505)",="(0.00149)",="(0.00310)"

="month=8",="0.211",="-0.0997",="0.0484",="0.0368",="-0.000295",="-0.000817",="-0.00141"
="",="(0.253)",="(0.0828)",="(0.0534)",="(0.0227)",="(0.00495)",="(0.00144)",="(0.00297)"

="month=9",="-0.246",="-0.0706",="-0.0377",="-0.00475",="0.000173",="-0.0000879",="-0.00107"
="",="(0.247)",="(0.0853)",="(0.0532)",="(0.0225)",="(0.00503)",="(0.00146)",="(0.00300)"

="month=10",="-0.177",="-0.0641",="-0.0257",="-0.00665",="0.000342",="-0.000306",="-0.00188"
="",="(0.247)",="(0.0857)",="(0.0537)",="(0.0225)",="(0.00498)",="(0.00145)",="(0.00300)"

="month=11",="0.0917",="-0.000901",="0.0203",="0.0133",="0.000652",="-0.000851",="-0.00132"
="",="(0.252)",="(0.0863)",="(0.0540)",="(0.0227)",="(0.00499)",="(0.00144)",="(0.00300)"

="month=12",="0.104",="-0.0400",="-0.0247",="-0.0162",="-0.000944",="-0.000958",="0.000577"
="",="(0.256)",="(0.0867)",="(0.0539)",="(0.0227)",="(0.00505)",="(0.00145)",="(0.00305)"

="Observations",="47501",="52569",="47392",="38798",="38222",="35557",="25653"
="R-squared",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.001"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
